" u "," y "
0.34333,0.858
0.34476,0.859
0.34621,0.86
0.34766,0.861
0.34911,0.862
0.35056,0.863
0.35202,0.864
0.35349,0.865
0.35496,0.866
0.35643,0.867
0.35791,0.868
0.3594,0.869
0.36089,0.87
0.36237,0.871
0.36388,0.872
0.36538,0.873
0.36688,0.874
0.36839,0.875
0.36991,0.876
0.37143,0.877
0.37296,0.878
0.37448,0.879
0.37602,0.88
0.37756,0.881
0.3791,0.882
0.38064,0.883
0.3822,0.884
0.38375,0.885
0.3853,0.886
0.38686,0.887
0.38843,0.888
0.38999,0.889
0.39156,0.89
0.39313,0.891
0.39471,0.892
0.39628,0.893
0.39786,0.894
0.39943,0.895
0.40101,0.896
0.40259,0.897
0.40417,0.898
0.40574,0.899
0.40732,0.9
0.40889,0.901
0.41046,0.902
0.41203,0.903
0.41359,0.904
0.41515,0.905
0.41671,0.906
0.41825,0.907
0.41979,0.908
0.42132,0.909
0.42286,0.91
0.42436,0.911
0.42586,0.912
0.42736,0.913
0.42886,0.914
0.43031,0.915
0.43175,0.916
0.43319,0.917
0.43464,0.918
0.43601,0.919
0.43738,0.92
0.43876,0.921
0.44012,0.922
0.4414,0.923
0.44269,0.924
0.44397,0.925
0.44523,0.926
0.4464,0.927
0.44757,0.928
0.44874,0.929
0.44987,0.93
0.4509,0.931
0.45194,0.932
0.45297,0.933
0.45394,0.934
0.45481,0.935
0.45569,0.936
0.45656,0.937
0.45735,0.938
0.45804,0.939
0.45873,0.94
0.45942,0.941
0.45999,0.942
0.46047,0.943
0.46096,0.944
0.46144,0.945
0.46178,0.946
0.46205,0.947
0.46231,0.948
0.46258,0.949
0.46269,0.95
0.46276,0.951
0.46283,0.952
0.46289,0.953
0.46285,0.954
0.46279,0.955
0.46273,0.956
0.46266,0.957
0.46266,0.958
0.46266,0.959
0.46266,0.96
0.46269,0.961
0.46314,0.962
0.46359,0.963
0.46405,0.964
0.46468,0.965
0.46629,0.966
0.46791,0.967
0.46952,0.968
0.4717,0.969
0.47557,0.97
0.47945,0.971
0.48332,0.972
0.48848,0.973
0.49608,0.974
0.50369,0.975
0.51129,0.976
0.52124,0.977
0.53419,0.978
0.54715,0.979
0.5601,0.98
0.57658,0.981
0.59617,0.982
0.61576,0.983
0.63535,0.984
0.65922,0.985
0.68565,0.986
0.71208,0.987
0.73851,0.988
0.76871,0.989
0.80038,0.99
0.83204,0.991
0.86371,0.992
0.89676,0.993
0.93013,0.994
0.9635,0.995
0.99686,0.996
nan,nan
nan,nan
nan,nan
nan,nan
